Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
1461,20,RH,4.382026634673881,9.360655132635051,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,49,49,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,TA,Y,SBrkr,6.79794041297493,0,0,6.79794041297493,0.0,0.0,1,0,2,1,TA,5,Typ,0,Missing,Attchd,49.0,Unf,1.0,730.0,TA,TA,Y,140,0,0,0,120,0,Missing,MnPrv,Missing,0,6,2010,WD,Normal,0,0,0
1462,20,RL,4.394449154672439,9.565704457114814,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,52,52,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,7.192182058713246,0,0,7.192182058713246,0.0,0.0,1,1,3,1,Gd,6,Typ,0,Missing,Attchd,52.0,Unf,1.0,312.0,TA,TA,Y,393,36,0,0,0,0,Missing,Missing,Gar2,12500,6,2010,WD,Normal,0,0,0
1463,60,RL,4.30406509320417,9.534595424658804,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,13,12,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,Gd,Y,SBrkr,6.833031732786201,701,0,7.395721608602045,0.0,0.0,2,1,3,1,TA,6,Typ,1,TA,Attchd,13.0,Fin,2.0,482.0,TA,TA,Y,212,34,0,0,0,0,Missing,MnPrv,Missing,0,3,2010,WD,Normal,0,0,0
1464,60,RL,4.356708826689592,9.208137948420983,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,12,12,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,Ex,Y,SBrkr,6.8308742346461795,678,0,7.38025578842646,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,12.0,Fin,2.0,470.0,TA,TA,Y,360,36,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD,Normal,0,0,0
1465,120,RL,3.7612001156935624,8.518192691749322,Pave,Missing,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,18,18,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,Ex,Y,SBrkr,7.154615356913663,0,0,7.154615356913663,0.0,0.0,2,0,2,1,Gd,5,Typ,0,Missing,Attchd,18.0,RFn,2.0,506.0,TA,TA,Y,0,82,0,0,144,0,Missing,Missing,Missing,0,1,2010,WD,Normal,0,0,0
1466,60,RL,4.31748811353631,9.210340371976184,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,17,16,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Gd,Y,SBrkr,6.637258031284457,892,0,7.411556287811163,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,17.0,Fin,2.0,440.0,TA,TA,Y,157,84,0,0,0,0,Missing,Missing,Missing,0,4,2010,WD,Normal,0,0,0
1467,20,RL,4.204692619390966,8.984693690443855,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,18,3,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,7.079184394609668,0,0,7.079184394609668,1.0,0.0,2,0,3,1,TA,6,Typ,0,Missing,Attchd,18.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,Missing,GdPrv,Shed,500,3,2010,WD,Normal,0,0,0
1468,60,RL,4.143134726391533,9.036225051729327,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,12,12,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Gd,Y,SBrkr,6.670766320845874,676,0,7.289610521451167,0.0,0.0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,12.0,Fin,2.0,393.0,TA,TA,Y,0,75,0,0,0,0,Missing,Missing,Missing,0,5,2010,WD,Normal,0,0,0
1469,20,RL,4.442651256490317,9.227787285579904,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,20,20,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Gd,Y,SBrkr,7.201170883281678,0,0,7.201170883281678,1.0,0.0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,20.0,Unf,2.0,506.0,TA,TA,Y,192,0,0,0,0,0,Missing,Missing,Missing,0,2,2010,WD,Normal,0,0,0
1470,20,RL,4.248495242049359,9.035986984831405,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,40,40,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,Y,SBrkr,6.782192056006791,0,0,6.782192056006791,1.0,0.0,1,0,2,1,TA,4,Typ,0,Missing,Attchd,40.0,Fin,2.0,525.0,TA,TA,Y,240,0,0,0,0,0,Missing,MnPrv,Missing,0,4,2010,WD,Normal,0,0,0
1471,120,RH,3.258096538021482,8.675563527387679,Pave,Missing,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,11,11,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,7.198183577101943,0,0,7.198183577101943,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,11.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD,Normal,0,0,0
1472,160,RM,3.044522437723423,7.426549072397305,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,39,39,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,6.180016653652572,504,0,6.894670039433482,0.0,0.0,1,1,2,1,TA,5,Typ,0,Missing,Detchd,39.0,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,Missing,Missing,Missing,0,2,2010,COD,Normal,0,0,0
1473,160,RM,3.044522437723423,7.426549072397305,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,39,39,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,6.263398262591624,567,0,6.9957661563048505,0.0,0.0,1,1,3,1,TA,6,Typ,0,Missing,Detchd,13.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,3,2010,WD,Normal,0,0,0
1474,160,RL,3.1780538303479458,7.731930721948486,Pave,Missing,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,35,35,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,6.75110146893676,601,0,7.283448228756631,0.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,35.0,Unf,2.0,440.0,TA,TA,Y,173,0,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD,Normal,0,0,0
1475,120,RL,3.1780538303479458,7.731930721948486,Pave,Missing,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,35,35,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,Y,SBrkr,6.728628613084702,0,0,6.728628613084702,0.0,0.0,1,0,2,1,TA,4,Typ,0,Missing,Attchd,35.0,Unf,1.0,308.0,TA,TA,Y,0,30,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD,Normal,0,0,0
1476,60,RL,4.624972813284271,9.461721464701633,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,1,0,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,7.394493107219038,707,0,7.755338812846501,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,1.0,Fin,3.0,751.0,TA,TA,Y,144,133,0,0,0,0,Missing,Missing,Missing,0,1,2010,New,Partial,0,0,0
1477,20,RL,4.543294782270004,9.463663891791525,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,1,0,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Ex,Y,SBrkr,7.342131730584722,0,0,7.342131730584722,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Missing,Attchd,1.0,RFn,3.0,868.0,TA,TA,Y,0,35,0,0,0,0,Missing,Missing,Missing,0,6,2010,New,Partial,0,0,0
1478,20,RL,4.499809670330265,9.351839934249883,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,5,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,Y,SBrkr,7.437206366871292,0,0,7.437206366871292,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,5.0,Fin,3.0,730.0,TA,TA,Y,192,74,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD,Normal,0,0,0
1479,20,RL,4.3694478524670215,9.555489144076292,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,5,4,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,GasA,Ex,Y,SBrkr,7.507690077819904,0,0,7.507690077819904,0.0,0.0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,5.0,RFn,3.0,678.0,TA,TA,Y,0,119,0,0,0,0,Missing,Missing,Missing,0,2,2010,WD,Normal,0,0,0
